							2^12	2^13	2^14	2^15	2^16	2^17	2^18	2^19	2^20	2^21	2^22	2^23	2^24	2^25	2^26	
000000. cquicksort & 5		0.000	0.001	0.001	0.003	0.006	0.011	0.025	0.070	0.112	0.237	0.466	1.005	2.100	4.284	9.309	
000001. cquicksort & 35		0.000	0.001	0.001	0.003	0.004	0.011	0.036	0.047	0.101	0.207	0.452	0.907	1.911	3.919	8.399	
000010. cquicksort & 65		0.000	0.001	0.001	0.002	0.005	0.010	0.023	0.048	0.125	0.213	0.477	0.889	1.995	3.997	9.105	
000011. cquicksort & 95		0.000	0.000	0.001	0.002	0.005	0.011	0.025	0.051	0.112	0.218	0.470	0.955	2.116	4.102	9.357	
000100. cquicksort & 125	0.001	0.000	0.002	0.003	0.005	0.013	0.027	0.053	0.110	0.235	0.479	1.021	2.036	4.289	9.664	
000101. cquicksort & 155	0.000	0.000	0.001	0.003	0.006	0.012	0.028	0.056	0.141	0.246	0.492	1.049	2.170	4.408	9.653	
000110. cquicksort & 185	0.001	0.001	0.001	0.003	0.006	0.013	0.029	0.060	0.132	0.278	0.521	1.059	2.211	4.655	10.046	
000111. cquicksort & 215	0.000	0.001	0.002	0.003	0.007	0.013	0.029	0.062	0.136	0.293	0.541	1.106	2.370	4.835	10.688	
001000. cquicksort & 245	0.001	0.001	0.002	0.003	0.007	0.014	0.038	0.065	0.144	0.280	0.564	1.173	2.569	5.024	10.794	
001001. cquicksort & 275	0.000	0.001	0.002	0.003	0.007	0.016	0.037	0.066	0.152	0.304	0.604	1.315	2.728	5.217	11.607	
001010. cmerge sort & 5		0.001	0.001	0.002	0.004	0.007	0.016	0.035	0.070	0.159	0.334	0.649	1.325	2.817	5.935	12.684	
001011. cmerge sort & 35	0.000	0.000	0.002	0.003	0.005	0.012	0.028	0.056	0.118	0.283	0.528	1.115	2.360	4.949	11.034	
001100. cmerge sort & 65	0.001	0.000	0.002	0.002	0.006	0.014	0.029	0.063	0.146	0.263	0.544	1.132	2.413	5.056	13.593	
001101. cmerge sort & 95	0.000	0.000	0.001	0.003	0.007	0.012	0.028	0.060	0.137	0.276	0.553	1.139	2.419	5.124	12.944	
001110. cmerge sort & 125	0.000	0.000	0.001	0.003	0.006	0.014	0.028	0.057	0.138	0.312	0.586	1.160	2.435	5.130	10.746	
001111. cmerge sort & 155	0.000	0.000	0.002	0.003	0.007	0.013	0.032	0.092	0.339	0.333	0.606	1.367	2.693	5.581	12.026	
010000. cmerge sort & 185	0.000	0.000	0.002	0.004	0.008	0.015	0.030	0.070	0.177	0.312	0.611	1.407	2.666	6.383	11.906	
010001. cmerge sort & 215	0.000	0.001	0.002	0.003	0.007	0.016	0.032	0.072	0.335	0.322	0.620	1.421	2.658	5.890	12.731	
010010. cmerge sort & 245	0.000	0.001	0.002	0.004	0.007	0.014	0.031	0.074	0.269	0.294	0.609	1.262	2.656	5.936	12.413	
010011. cmerge sort & 275	0.000	0.001	0.002	0.004	0.009	0.020	0.043	0.091	0.194	0.369	0.774	1.617	3.260	7.040	14.656	
