+------+--------------------------------+---------+----------+-----------------+---------------+-------------+------------+----------+
| name | status                         | user_id | cpu_time | io_block_period | io_block_time | block_count | taken_time | priority |
+------+--------------------------------+---------+----------+-----------------+---------------+-------------+------------+----------+
|    a | running -> before quantum      |       0 |   0:1095 |           0:108 |          0:14 |           0 |          1 |       50 |
|    a | ready -> after quantum         |       0 |  50:1095 |          50:108 |          0:14 |           0 |         51 |       50 |
|    b | running -> before quantum      |       1 |   0:1004 |               - |             - |           0 |         52 |       50 |
|    b | ready -> after quantum         |       1 |  50:1004 |               - |             - |           0 |        102 |       50 |
|    c | running -> before quantum      |       1 |   0:1097 |            0:63 |          0:10 |           0 |        103 |       62 |
|    c | ready -> after quantum         |       1 |  50:1097 |           50:63 |          0:10 |           0 |        153 |       62 |
|    d | running -> before quantum      |       1 |   0:1057 |           0:120 |          0:19 |           0 |        154 |       68 |
|    d | ready -> after quantum         |       1 |  50:1057 |          50:120 |          0:19 |           0 |        204 |       68 |
|    a | running -> before quantum      |       0 |  50:1095 |          50:108 |          0:14 |           0 |        205 |       76 |
|    a | ready -> after quantum         |       0 | 100:1095 |         100:108 |          0:14 |           0 |        255 |       76 |
|    b | running -> before quantum      |       1 |  50:1004 |               - |             - |           0 |        256 |       85 |
|    b | ready -> after quantum         |       1 | 100:1004 |               - |             - |           0 |        306 |       85 |
|    c | running -> before quantum      |       1 |  50:1097 |           50:63 |          0:10 |           0 |        307 |       92 |
|    c | blocked -> blocked             |       1 |  63:1097 |           63:63 |          0:10 |           0 |        320 |       92 |
|    d | ready -> in quantum            |       1 |  50:1057 |          50:120 |          0:19 |           0 |        321 |       92 |
|    d | running -> in quantum          |       1 |  50:1057 |          50:120 |          0:19 |           0 |        321 |       92 |
|    c | ready -> from blocked to ready |       1 |  63:1097 |            0:49 |         15:15 |           1 |        335 |       92 |
|    d | ready -> after quantum         |       1 |  87:1057 |          87:120 |          0:19 |           0 |        358 |       92 |
|    c | running -> before quantum      |       1 |  63:1097 |            0:49 |         15:15 |           1 |        359 |      102 |
|    c | blocked -> blocked             |       1 | 112:1097 |           49:49 |         15:15 |           1 |        408 |      102 |
|    c | blocked -> after quantum       |       1 | 113:1097 |            1:30 |          2:19 |           2 |        409 |      102 |
|    a | running -> before quantum      |       0 | 100:1095 |         100:108 |          0:14 |           0 |        410 |      101 |
|    a | blocked -> blocked             |       0 | 108:1095 |         108:108 |          0:14 |           0 |        418 |      101 |
|    b | ready -> in quantum            |       1 | 100:1004 |               - |             - |           0 |        419 |      123 |
|    b | running -> in quantum          |       1 | 100:1004 |               - |             - |           0 |        419 |      123 |
|    c | ready -> from blocked to ready |       1 | 113:1097 |            1:30 |         19:19 |           2 |        428 |      102 |
|    a | ready -> from blocked to ready |       0 | 108:1095 |           0:138 |         18:18 |           1 |        436 |      101 |
|    b | ready -> after quantum         |       1 | 142:1004 |               - |             - |           0 |        461 |      123 |
